C3L-03394	16.3586	-14
C3N-03428	2.64248	-15
C3L-02112	75.7471	-19
C3N-01719	62.0529	-24
C3N-03670	0	-15
C3N-02998	0	-40.4198
C3N-03211	0	-14
C3L-01052	0	-14
C3N-00512	0	-15
C3N-02295	25.4011	-14
C3N-01012	28.9939	-15
C3N-01502	0	-16
C3L-01053	0	-14
C3L-03632	39.3893	-15
C3L-00401	0	-14
C3L-01054	0	-14
C3N-00517	0	-14
C3N-03440	0	-14
C3L-04495	0	-15
C3N-04284	116.092	-16
C3N-00957	0	-17
C3L-03395	0	-18
C3N-00303	0	-15
C3N-00513	0	-14
C3N-01166	68.7519	-15
C3N-01382	0	-44.334
C3N-01011	39.4081	-14
C3L-04473	0	-14
C3N-01997	56.6543	-15
C3L-00640	16.433	-15
C3L-00189	0	-14
C3N-01998	7.64312	-14
C3L-01036	0	-15
C3N-03069	2.80099	-19.9948
C3L-00881	9.95971	-16.4292
C3N-01715	0	-14
C3N-03426	411.191	-42.9284
C3N-00198	159.657	-14
C3N-01380	34.6858	-17
C3N-01388	0	-14
C3L-03388	90.0321	-45.2671
C3N-02589	6.23795	-15
C3L-03356	36.4523	-14
C3N-02944	0	-15
C3N-00436	0	-45.1242
C3L-00928	188.123	-15
C3L-01124	64.9571	-15
C3N-02592	172.523	-15
C3N-01383	0	-14
C3N-03439	97.6861	-15
C3N-03006	129.218	-14
C3N-01165	56.7987	-14
C3N-03173	2.71028	-14
C3L-04475	52.4274	-17
C3L-04853	0	-14
C3L-02115	99.0967	-14
C3L-02701	2.70832	-14
C3L-00102	2.97269	-15
C3N-01375	627.412	-15
C3N-03884	105.132	-14
C3N-01168	0	-14
C3L-00622	0	-14
C3N-01381	316.557	-16
C3L-01703	5.16212	-17
C3L-02118	25.689	-14
C3L-03628	106.552	-15
C3N-03780	6.06064	-14
C3L-01637	179.354	-17.6406
C3N-04119	27.0866	-15.1789
C3L-02899	127.918	-50.0889
C3N-02971	288.118	-16
C3N-02573	0	-14
C3L-00819	0	-15
C3N-01714	89.0638	-17
C3L-02890	128.884	-14
C3L-02116	7.92814	-18
C3L-01453	205.422	-28.3559
C3L-03635	0	-23.578
C3N-00518	0	-14
C3N-03840	96.4865	-43.1098
C3L-02606	0	-14
C3N-03061	102.058	-14
C3L-04848	82.1037	-15
C3N-00514	13.4569	-15
C3L-02897	4.17678	-14
C3L-01687	86.313	-14
C3N-02940	204.901	-15
C3L-04080	39.1038	-40.8954
C3N-03853	203.288	-33.0873
C3N-04283	20.0721	-14
C3L-02109	143.606	-14
C3L-03630	175.082	-29
C3L-01662	245.147	-15
C3N-00709	321.976	-31.3025
C3N-03007	62.0464	-14
C3N-03665	687.513	-47.4911
C3L-01598	39.3139	-40.511
C3L-00599	29.4273	-19
C3L-01051	175.65	-17
C3N-01716	242.253	-48.5824
C3N-03839	432.569	-44.0634
C3L-04479	0	-50.1336
C3L-00625	50.0579	-34.0969
C3N-03754	411.063	-47.6063
C3L-01037	18.6727	-15
C3N-03666	0	-17.5339
C3N-04126	0	-21.2018
C3L-00017	144.091	-14
C3L-01689	298.646	-34.0762
C3L-04027	73.4226	-14
C3N-02585	0	-42.8607
C3N-03039	15.2873	-15
C3N-03086	2.97152	-15.4767
C3L-02463	13.6605	-19.9752
C3N-00249	61.0675	-25.9199
C3L-00589	239.595	-20.7611
C3N-00302	884.004	-47.2446
C3L-03743	26.3076	-18.6264
C3N-00511	44.3522	-61.1152
C3N-03190	0	-72.0741
C3N-00516	76.4512	-58.8124
C3L-02610	248.22	-57.9977
C3N-02579	726.529	-16
C3N-03000	2.64473	-17.3615
C3L-00598	0	-34.4921
C3N-03430	22.5487	-15.6968
C3L-02809	75.9706	-340.751
C3N-02768	121.496	-56.3642
C3L-03123	41.3123	-14
C3N-02010	799.513	-50.162
C3L-01031	37.0027	-150.82
C3N-01167	933.208	-467.585
C3L-01971	3.24291	-14
C3L-02604	258.548	-16.9951
C3L-00277	490.647	-30.6933
C3L-01328	305.694	-19
C3L-03639	495.763	-704.266
C3N-04282	135.734	-65.4435
C3L-04072	485.383	-72.3493
C3L-02613	1825.81	-2420.08
